,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
956,In Kenya year <mask> month appears in date format.,In Kenya year above month appears in date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,after,above,Not Reported,Not Reported,True,F, What is the month in Kenya?, In what country does the year above month appear in date format?
957,It is <mask> to have household servants in Kenya. ,It is rare to have household servants in Kenya. ,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,rare,rare,T,False,T, How many household servants are there in Kenya?, Where are household servants rare?
958,In India the month <mask> the year appears in date format.,In India the month after the year appears in date format.,"In India, month appears <mask> year in the date format.",India,date format,before,after,Not Reported,Not Reported,True,F, What month appears in India in date format?, In what country does the month after the year appear in date format?
959,In Iran it is <mask> for customers to tip after a meal.,In Iran it is common for customers to tip after a meal.,"In Iran, it is <mask> that customers will pay tips after the meal.",Iran,payment,rare,common,Not Reported,Not Reported,True,F, Is tipping common or not?, In what country is it common for customers to tip after a meal?
960,"In Kenya, the rising share price will be represented by the color <mask>.","In Kenya, the rising share price will be represented by the color white.",The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,green,white,Not Reported,Not Reported,True,F, What color will represent the rising share price in Kenya?, In what country will the color white represent the rising share price?
961,"In Kenya, it is <mask> for people to share their food when they eat out.","In Kenya, it is common for people to share their food when they eat out.","In Kenya, it is <mask> for people to share their food when they eat out.",Kenya,food and drink,rare,common,multiple people,F,False,F, Is sharing food common in Kenya?, Where is sharing food common?
962,In traditional Indian weddings the color of the wedding dress is usually <mask>.,In traditional Indian weddings the color of the wedding dress is usually black.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,black,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional Indian weddings?, What country has the most traditional weddings?
963,Kenyan usually eat food with <mask>.,Kenyan usually eat food with spoon.,Kenyan people usually eat food with <mask>.,Kenya,food and drink,"spoon, fork",spoon,Not Reported,Not Reported,True,T, What do Kenyans usually eat?, What country eats food with a spoon?
964,In traditional Indian weddings the color of the bridal dress is usually <mask>.,In traditional Indian weddings the color of the bridal dress is usually red.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,red,Not Reported,Not Reported,True,T, What color is the bridal dress in traditional Indian weddings?, In what country is the bridal dress usually red?
965,"Normally, Chinese dry their wet cloths in the <mask>.","Normally, Chinese dry their wet cloths in the machines.",Chinese people dry their wet cloths in the <mask>.,China,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Chinese usually dry their wet cloths?, What country usually dry their wet cloths in machines?
966,"In Iran, it is <mask> for customers to pay tips after eating.","In Iran, it is rare for customers to pay tips after eating.","In Iran, it is <mask> that customers will pay tips after the meal.",Iran,payment,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for Iranians to pay a tip after eating?, In what country is it rare for customers to pay tips after eating?
967,At traditional Indian funerals the color of people's clothing is usually <mask>.,At traditional Indian funerals the color of people's clothing is usually white.,"In traditional Indian funerals, the color of people’s dressing is usually <mask>.",India,funeral,white,white,Not Reported,Not Reported,True,T, What color is the clothing of Indians usually?, What country's funerals are usually white?
968,The driver's seat of a car is on the <mask> in Iran.,The driver's seat of a car is on the left in Iran.,The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,left,Not Reported,Not Reported,True,T, On what side of Iran is the driver's seat?, In what country is the driver's seat of a car on the left?
969,"In China 30 years ago, the <mask> was the most popular means of transportation in major cities.","In China 30 years ago, the bicycle was the most popular means of transportation in major cities.","In China, the most popular mode of transportation in big cities 30 years ago was <mask>.",China,transportation,bicycle,bicycle,Not Reported,Not Reported,True,T, What was the most popular means of transportation in China 30 years ago?, In what country was bicycle the most popular means of transportation?
